Address,Is_Real_Fraud,Model_Answer
0xD816FB91C7688eCB56A75757AF3631821297bC4b,1,1
0x2e16bd350cb5db830fb50328ab4df62fd4c16ae8,1,1
0x239b4eb7bbbffafe2c94bd98b01de9db7d35accf,1,1
0x50d45cff347e4000f2b5e4d889d670c93764f949,1,1
0x7a1b7f494d649aa49e793a436431282e3657a932,0,0
0x9e74a882c90605af690ae507b1fb9b0991578776,0,0
0xe8cFAd4C75a5e1CaF939Fd80AfCf837DdE340a69,2,0
0xD816FB91C7688eCB56A75757AF3631821297bC4b,1,1
0xD816FB91C7688eCB56A75757AF3631821297bC4b,1,1
0xD816FB91C7688eCB56A75757AF3631821297bC4b,1,1
0xa14429e90bd90e17d2a97c4eac1feefabb88727f,1,1
0x35a95d5f0c8f676bb7b2dab47d6368a4ad5cbf8a,1,1
0xd537736860c1762a3f8db43b5f58327b1d6edf91,1,0
0xf902aa3a62f9e28878129e1a8f1eb71e4fd7a88c,1,0
0x89c98cc6d9917b615257e5704e83906402f0f91f,1,1
0xfde7bc4f67d926328ad881fec09cabbde2cf866f,1,1
0xd99aa567ddbd0adc13d32e95711aacedf383277a,1,1
0xf358b296ddac14bb76d364a496376107cf5d2866,1,0
0x05e3208b1f05d1ad6feec6245f226645a43451f4,1,1
0x54faf0414295cbda1446b6dd35fb2d2934222329,1,1
0x12c97578b2abcdc45d28df7a288f27940705278a,1,1
0x5b77e6ab2113e7f721e90727de1468d3a20fd9cf,1,1
0x920adc9a060cda345fdec2fdebad6ebf38edf83d,1,1
0x82d2a8620fdff22a4dc565b8a226f60a1d1e9a24,0,0
0x312872ce3bc4074b14af2235858eee22bfdef09d,0,1
0x2096185f85ac50aeb99a68bad2a64d320bde08b7,0,0
0xc52faa6f6bf841b22c00cd15311086fece240f30,0,0
0x85758c0a5527320ab58d1ef69e22680960106cb8,0,0
0x711b7328b6ab28124b3b8c8f6b2032b7b1cc0f89,0,0
0xca6289e1c347c3e6a0087f76fc42c0a064349628,0,0
0x920adc9a060cda345fdec2fdebad6ebf38edf83d,1,1
0xc20953fc42ad0d5eefa3cc36d04c5f343f32f908,1,1
