Fraud,Address,Normal_Txns,Normal_Sent_txns,Normal_Received_txns,ERC20_txns,ERC20_Sent_txns,ERC20_Received_txns,Internal_Txn,Eth_Volume,Sent_Eth,Received_Eth,ERC20_Volume,Sent_ERC20,Received_ERC20,Stable_Coin_Volume,Sent_Stable_Coin,Received_Stable_Coin,First_Txn_Timestamp,Last_Txn_Timestamp,Wallet_LifeTime,Min_Time_Btw_Normal_Txns,Avg_Time_Btw_Normal_Txns,Max_Time_Btw_Normal_Txns,Min_Time_Btw_ERC20_Txns,Avg_Time_Btw_ERC20_Txns,Max_Time_Btw_ERC20_Txns,Min_Time_Btw_Txns,Avg_Time_Btw_Txns,Max_Time_Btw_Txns,Uniq_Wallet_In_Normal_Txns,Uniq_SmrtCntrs_In_Normal_Txns,Uniq_Wallet_In_ERC20_Txns,Uniq_SmrtCntrs_In_ERC20_Txns
1,0xf5df106dabd8fe5c4c56fc7760815963452aff72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0xf2f9a368cef33373ed09641c924a5e2e97f739f6,70,10,60,0,0,0,0,92.92242956788087,46.454006933090405,46.468422634790464,0,0,0,0,0,0,1643026424,1644934498,1908074000,0,27258000,1579671000,0,0,0,0,27258000,1579671000,56,0,0,0
1,0x09637e9263d7492230c2e866c5e0def90e67c2ef,17,2,15,0,0,0,0,0.9356998000000001,0.465,0.4706998,0,0,0,0,0,0,1585587420,1585824705,237285000,0,13958000,1031000,0,0,0,0,13958000,1031000,9,0,0,0
1,0x069a1bc19a1786a8091419bd1893f4687e65b918,21,7,14,0,0,0,0,10.282956046207309,5.132956046207309,5.15,0,0,0,0,0,0,1640620992,1642703730,2082738000,104000,99178000,1690000,0,0,0,104000,99178000,1690000,20,0,0,0
1,0xd1b3f1117928981ef6f42139f575ee34784b016b,7,1,6,1,0,1,0,15.5377822,7.7684606,7.7693216000000005,5.0,0,5.0,0,0,0,1533490015,1539357881,5867866000,17000,630833000,2426000,0,0,0,17000,733483000,2426000,7,0,1,0
1,0x775ba1603f538f462a287c19efb77b9a616499e5,1,0,1,7,0,7,0,0.003,0,0.003,1403.684,0,1403.684,0,0,0,1513589239,1663609643,150020404000,0,0,0,5944232000,21431486000,7100592000,2023000,18752550000,7098569000,1,0,6,1
1,0xa82e2b7ee7c92d6062db14de092a4838a816b1f0,2,1,1,0,0,0,0,0.19688,0.09688,0.1,0,0,0,0,0,0,1547965219,1548109139,143920000,143920000,71960000,0,0,0,0,143920000,71960000,0,2,0,0,0
1,0x159b0563961a43f509c807a2eb156fa04b82326f,0,0,0,1,0,1,0,0,0,0,13.37,0,13.37,0,0,0,1547971375,1547971375,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0x05ae6dd50b5a71366fde5eb538a9d41eb3523922,21,9,12,0,0,0,1,16.80409939919242,8.675855523307607,8.128243875884815,0,0,0,0,0,0,1580963274,1586423780,5460506000,47000,260024000,6769000,0,0,0,47000,260024000,6769000,12,0,0,0
1,0xdd68910e9fc5b71d4f0f5eceb4ec57742bcc3cd5,83,31,53,0,0,0,2,150.87020786496834,78.92336568248417,77.64684218248418,0,0,0,0,0,0,1538829557,1566409200,27579643000,76000,332285000,89000,0,0,0,76000,332285000,89000,69,0,0,0
1,0xa2b3357c4849ef9aa0b5624151af581eacaa200e,165,98,67,96,34,62,31,192.7231716878967,133.4870973887102,59.236074299186505,384801.7522688658,186957.19563170336,197844.55663716246,0,0,0,1639600524,1643408901,3808377000,0,23081000,148135000,0,22610000,951000,0,14591000,148046000,72,37,29,28
1,0xd821dfb705333d2c16e0c0c0be75ce360cca566a,4,1,3,3,0,3,0,10.998999999999999,5.499,5.5,16.58223082113864,0,16.58223082113864,0,0,0,1505229397,1522903715,17674318000,5620000,299072000,6477000,4666246000,4390878000,0,5620000,2524903000,6477000,4,0,2,1
1,0x8d68835cc23b519f92c9cae8312607ea91e7ebcf,12,2,10,0,0,0,0,133.9305926,66.9650758,66.9655168,0,0,0,0,0,0,1577584118,1578044229,460111000,64000,38343000,508000,0,0,0,64000,38343000,508000,12,0,0,0
1,0xba077f3ecda0c74c1dbe15a86e4d1f96ccaadd90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0x91bd14a1de43f49d72503a1def8e7273328cf80a,2,1,1,17,1,16,0,1.1,0.0,1.1,2861.5592591981017,1430.7796295990508,1430.7796295990508,0,0,0,1600900396,1601273117,372721000,348923000,174462000,0,198000,21925000,489000,0,19617000,489000,1,1,13,0
1,0xef9427bf15783fb8e6885f9b5f5da1fba66ef931,10,8,3,4,1,3,1,5986.457543252686,3724.999558834858,2261.4579844178284,12359573.637001786,6029286.818500893,6330286.818500893,12058573.637001786,6029286.818500893,6029286.818500893,1628738432,1667061611,38323179000,0,922605000,76920000,220000,8375107000,0,0,2737370000,76920000,4,2,0,3
1,0xa592f4891ff2d233c93b641af65069ed663295bc,1,0,1,2,0,2,0,1.0,0,1.0,99.01,0,99.01,0,0,0,1536442195,1663610267,127168072000,0,0,0,118603170000,59301585000,0,8564902000,42389357000,0,1,0,1,1
1,0x4825f7e0a104d76d33917fa4332dc4b4a5028d1a,24,10,14,1,0,1,0,9.495138224607766,4.7290275275,4.766110697107766,90.34239769,0,90.34239769,0,0,0,1613427134,1613505478,78344000,18000,3264000,18830000,0,0,0,18000,3134000,18830000,21,1,1,0
1,0x4975fcf75d0f45a745ececee617e8e1e652c008b,2,1,1,1,0,1,0,2.0809887,1.04006385,1.04092485,13.37,0,13.37,0,0,0,1533428781,1547971375,14542594000,4475801000,2237900000,0,0,0,0,4475801000,4847531000,0,2,0,1,0
1,0xa79bab8d82baa14884f4be6244d11eed6ac6fd3f,3,2,1,2,1,1,0,0.021866880999958,0.006064593499979,0.015802287499979,808.448,404.224,404.224,0,0,0,1604701865,1612863252,8161387000,167000,2720462000,8161220000,8145279000,4072640000,0,0,1632277000,15941000,2,1,2,0
1,0xd51ea7f699f5eda06b68818764fbdd77264a7cc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0x027a46b6cd1e80df60f5cf0f22c3f3fb899b2efd,8,2,6,1,0,1,0,22.86120833,11.42,11.44120833,11.44120833,0,11.44120833,0,0,0,1562473016,1615379534,52906518000,745000,6613315000,19800000,0,0,0,745000,5878502000,19800000,8,0,0,1
1,0xc90cebb23c12669fcd7f9d50dd54465546085967,0,0,0,1,0,1,0,0,0,0,13.37,0,13.37,0,0,0,1547971375,1547971375,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0xc55ca254045a09565a3eed7a0cb32d38b7062e52,16,4,12,1,0,1,1,7.02932902,3.52558951,3.50373951,3.52873951,0,3.52873951,0,0,0,1546102562,1608441807,62339245000,1535000,3896203000,165691000,0,0,0,1535000,3667014000,165691000,9,0,0,1
1,0x1ccf09f238a9485de914022d47a99431b7ae9a2d,2,1,1,1,0,1,0,0.39986090756071,0.19986090756071,0.2,0.01,0,0.01,0,0,0,1538953351,1663618655,124665304000,39063755000,19531878000,0,0,0,0,39063755000,41555101000,0,2,0,1,0
1,0x3c2d00254b02ac5654fc725e6cedc77643c0086c,10,3,7,0,0,0,0,102.70774824488238,51.351858119999996,51.355890124882386,0,0,0,0,0,0,1596259717,1596296879,37162000,126000,3716000,2240000,0,0,0,126000,3716000,2240000,10,0,0,0
1,0x5555355055795ba1bf286507b6fe766c0c2c45c5,2,1,1,0,0,0,0,3.6373225600000003,1.81658228,1.82074028,0,0,0,0,0,0,1612765813,1612797009,31196000,31196000,15598000,0,0,0,0,31196000,15598000,0,2,0,0,0
1,0xf7f70692001eaf964c9f158a0d9e94c8a12b8eeb,38,3,35,0,0,0,0,13.437619666155404,6.717351853611441,6.720267812543964,0,0,0,0,0,0,1647955891,1673763107,25807216000,0,679137000,522000,0,0,0,0,679137000,522000,33,0,0,0
1,0x105abf29825bcd9dc66998446d502e75257b16f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0xee565e611d47f28787a3e1561f43450d24378a22,11,1,10,2,0,2,0,53.38582664,26.69176632,26.694060320000002,1.347,0,1.347,0,0,0,1525288312,1663405199,138116887000,64000,173422000,1342875000,115443218000,57721609000,0,64000,10624376000,1342875000,11,0,2,0
1,0x80e23a71343df6320824788b0466d05fcd679da4,3,1,2,0,0,0,0,21.15525312,10.57699656,10.57825656,0,0,0,0,0,0,1591796849,1591815878,19029000,29000,6343000,0,0,0,0,29000,6343000,0,3,0,0,0
1,0xe2415ca9a072c5fca34115f03d2e311fb52cd7e8,16,11,5,11,5,6,3,19.58088300530512,13.918370553339049,5.662512451966074,14000041999.99,7000019000.0,7000022999.99,0,0,0,1587695239,1694064815,106369576000,31000,6037923000,2112000,36000,9669961000,3801000,0,3939614000,1689000,5,4,5,2
